NOM_ENT,LONGITUD_DECIMAL,LATITUD_DECIMAL
MICH,-101.2401817,19.64933333
CHIH,-107.9959494,31.09217611
MEX,-99.51313861,19.26649028
ZAC,-103.3935903,24.29048111
CHIS,-92.80750833,16.55167361
GTO,-100.7490261,20.57353694
MEX,-98.81970806,19.029515
COL,-103.8109169,19.20141
PUE,-98.36590667,19.12244139
ZAC,-103.4514494,24.29444639
MEX,-99.00788306,19.81422444
MEX,-98.86421278,19.29576694
SIN,-107.3629442,24.32297556
CHIH,-108.1413889,29.19
HGO,-99.38311306,20.73806889
MEX,-99.08463389,19.83056944
MOR,-99.10122694,18.98645722
JAL,-104.0783333,20.76722222
HGO,-99.22159333,20.09161444
NAY,-105.1450567,21.95025278
JAL,-102.9241667,20.38138889
SIN,-108.7181408,25.70457972
CHIS,-92.71520833,17.14082611
JAL,-103.4677778,20.5275
MEX,-99.74149056,19.590445
VER,-96.72451111,18.972155
JAL,-102.1808333,21.00972222
MEX,-98.80255361,19.20590333
JAL,-102.8872222,21.1825
JAL,-101.5933333,21.86416667
NAY,-105.1352628,21.17522444
TAB,-92.53014222,17.83319667
VER,-97.85521833,22.20167917
BCS,-112.2682747,27.33686833
SLP,-100.7371089,21.80043861
TAM,-98.07371306,22.91930611
NL,-100.2647633,25.87589917
VER,-96.72232278,18.81453944
VER,-96.79684778,18.89139917
MEX,-98.83452444,19.70484333
PUE,-97.77178944,18.92060972
MEX,-99.75628056,19.24637361
OAX,-96.78563306,16.86668611
CHIS,-92.89021889,16.99638333
TLAX,-98.23372222,19.17503389
SON,-110.033485,27.35600111
MOR,-99.12547833,18.89088167
SLP,-101.1133522,23.12981833
MEX,-100.0040806,19.91591139
MICH,-102.7058219,19.81028528
OAX,-96.46523028,15.74634083
MEX,-99.49868417,19.19937194
JAL,-103.4516667,20.81777778
MEX,-99.59384167,18.96183028
TLAX,-97.65915917,19.32458611
VER,-94.89694389,17.92818528
GTO,-100.7489231,20.67174222
VER,-94.68305556,18.01777778
VER,-97.08756583,20.45193222
YUC,-90.00064028,20.58505944
QRO,-99.47291083,21.21680222
OAX,-94.82893889,16.47282389
YUC,-89.52128389,21.07389389
TAB,-91.53384611,17.800395
PUE,-97.952715,19.10494028
CDMX,-99.00628694,19.19944833
CDMX,-98.96494444,19.22477861
BC,-115.9892858,30.73202389
HGO,-99.33688,20.02812028
GRO,-100.0893672,17.00900167
MICH,-102.0067406,19.90996306
MEX,-99.65760583,19.314875
JAL,-102.3283333,20.52805556
JAL,-102.7892175,20.54361361
MICH,-103.1595547,18.77709889
GRO,-101.6009969,17.66103472
MEX,-99.70458806,19.25330944
VER,-96.87456694,19.50435556
VER,-96.42328917,19.04474583
MEX,-98.87406083,19.45031778
PUE,-97.34798167,18.32627333
GRO,-99.39004639,16.79734361
ZAC,-102.8837261,22.35425861
NAY,-105.4560339,22.39504111
BCS,-114.0530211,27.97183306
ZAC,-103.5672333,22.77190028
