LONGITUD_DECIMAL,LATITUD_DECIMAL
-102.3533761,21.7653475
-102.3533333,21.76111
-102.358635,21.72823861
-102.3417061,21.92334611
-102.3444256,21.90079444
-102.3419628,21.92433389
-102.27131,21.94078917
-102.2270289,21.89273139
-102.2261728,21.88285611
-102.2098444,21.88654806
-102.1708011,21.82110361
-102.3581806,21.70745139
-102.1657447,21.87479306
-102.2310817,21.89532389
-102.4957244,21.7507025
-102.1583253,21.88875056
-102.2051503,21.85300917
-102.2340178,21.87674389
-102.3554983,21.90615833
-102.2690808,21.8259625
-102.2252103,21.89706833
-102.1473128,21.97740861
-102.2651392,21.70030639
-102.3244683,21.685165
-102.318605,21.63076944
-102.3566842,21.76662389
-102.3592033,21.75173361
-102.2361569,21.79377806
-102.3174289,21.66012833
-102.3296664,21.70042361
-102.18689,21.80522972
-102.2090475,21.82938778
-102.1552806,21.95771556
-102.1903511,21.88829028
-102.4002881,21.77032417
-102.2126833,21.86330333
-102.2262411,21.91401083
-102.35546,21.744695
-102.4128964,21.68437889
-102.1213656,21.7627625
-102.1702808,22.00210167
-102.1603308,22.0079925
-102.1587297,21.95987278
-102.227075,21.93553472
-102.192055,21.88476611
-102.1889525,21.88966639
-102.4845275,21.73427944
-102.089275,22.23831694
-101.9211919,22.04621111
-102.2060386,22.13338944
-102.0496503,22.21444944
-102.0136069,22.04519139
-101.8746067,22.02400972
-102.0183117,22.23521056
-102.03509,22.24587556
-101.9412128,22.09056861
-102.1923106,22.16023194
-102.0188494,22.19439528
-102.1378367,22.14014167
-102.0490531,22.12751333
-102.0077953,22.21853361
-102.0207,22.05082
-101.9815139,22.08790389
-102.1112222,22.04096056
-101.9808144,22.02728056
-101.8688644,22.04415417
-101.8923522,22.03968306
-101.9699078,22.08587889
-102.0244975,22.14579556
-102.1822342,22.10333611
-102.0302411,22.26660278
-102.0641094,22.29598444
-102.0771189,22.03730111
-101.8971981,22.02439389
-102.0281425,22.1710775
-102.0943633,22.06302583
-102.0955981,22.16200833
-101.8789267,21.98548056
-102.0418847,22.28522778
-102.1725825,22.10177111
-101.9334039,22.03278583
-101.9590922,22.03626056
-102.1037864,22.16456333
-102.1084236,22.13362556
-102.0556547,22.23246806
-101.8674128,22.03080222
-102.1460792,22.11560833
-102.0212719,22.208945
-102.0596339,22.12301028
-102.0886714,22.25259444
-102.0097067,22.10645083
